Rank,Song,Artist,Last_Week,Peak_Position,Weeks_on_Chart,Date
16,Stick Season,Noah Kahan,14,14,16,2024-01-27
17,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,13,1,12,2024-01-27
18,All Of Me,21 Savage,NEW,18,1,2024-01-27
19,N.H.I.E.,21 Savage & Doja Cat,NEW,19,1,2024-01-27
20,What Was I Made For?,Billie Eilish,16,14,26,2024-01-27
21,White Horse,Chris Stapleton,17,12,26,2024-01-27
22,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,18,11,15,2024-01-27
23,Igual Que Un Angel,Kali Uchis & Peso Pluma,NEW,23,1,2024-01-27
24,La Diabla,Xavi,22,22,5,2024-01-27
25,FTCU,Nicki Minaj,15,15,6,2024-01-27
26,Lil Boo Thang,Paul Russell,19,14,18,2024-01-27
27,Flowers,Miley Cyrus,20,1,48,2024-01-27
28,Everybody,Nicki Minaj Featuring Lil Uzi Vert,25,25,6,2024-01-27
29,Houdini,Dua Lipa,29,11,10,2024-01-27
30,World On Fire,Nate Smith,21,21,12,2024-01-27
31,Pop Ur Sht,"21 Savage, Young Thug & Metro Boomin",NEW,31,1,2024-01-27
32,Fukumean,Gunna,24,4,29,2024-01-27
33,Sneaky,21 Savage,NEW,33,1,2024-01-27
34,Need A Favor,Jelly Roll,23,13,40,2024-01-27
35,Dangerous,"21 Savage, Lil Durk & Metro Boomin",NEW,35,1,2024-01-27
36,Pretty Little Poison,Warren Zeiders,30,30,19,2024-01-27
37,Never Lose Me,Flo Milli,42,37,5,2024-01-27
38,First Person Shooter,Drake Featuring J. Cole,26,1,15,2024-01-27
39,Dance The Night,Dua Lipa,32,6,29,2024-01-27
40,Should've Wore A Bonnet,21 Savage & Brent Faiyaz,NEW,40,1,2024-01-27
41,Save Me,Jelly Roll With Lainey Wilson,28,19,28,2024-01-27
42,Vampire,Olivia Rodrigo,27,1,26,2024-01-27
43,Prove It,21 Savage & Summer Walker,NEW,43,1,2024-01-27
44,Wild Ones,Jessie Murph & Jelly Roll,41,41,15,2024-01-27
45,Used To Be Young,Miley Cyrus,31,8,21,2024-01-27
46,My Love Mine All Mine,Mitski,35,26,17,2024-01-27
47,Exes,Tate McRae,36,34,9,2024-01-27
48,Good Good,"Usher, Summer Walker & 21 Savage",34,25,23,2024-01-27
49,Truck Bed,HARDY,39,36,31,2024-01-27
50,Surround Sound,JID Featuring 21 Savage & Baby Tate,40,40,10,2024-01-27
51,On My Mama,Victoria Monet,38,35,18,2024-01-27
52,Where The Wild Things Are,Luke Combs,48,48,9,2024-01-27
53,Feather,Sabrina Carpenter,46,46,7,2024-01-27
54,Strangers,Kenya Grace,44,42,18,2024-01-27
55,La Victima,Xavi,55,55,5,2024-01-27
56,The Painter,Cody Johnson,43,43,15,2024-01-27
57,Red Sky,"21 Savage, Tommy Newport & Mikky Ekko",NEW,57,1,2024-01-27
58,Murder On The Dancefloor,Sophie Ellis-Bextor,58,58,3,2024-01-27
59,Letter To My Brudda,21 Savage,NEW,59,1,2024-01-27
60,Burn It Down,Parker McCollum,52,52,13,2024-01-27
61,Get Him Back!,Olivia Rodrigo,50,11,19,2024-01-27
62,Bellakeo,Peso Pluma & Anitta,54,54,5,2024-01-27
63,You Broke My Heart,Drake,47,11,9,2024-01-27
64,Monaco,Bad Bunny,49,5,14,2024-01-27
65,Harley Quinn,Fuerza Regida & Marshmello,53,40,11,2024-01-27
66,See The Real,21 Savage,NEW,66,1,2024-01-27
67,Just Like Me,"21 Savage, Burna Boy & Metro Boomin",NEW,67,1,2024-01-27
68,IDGAF,Drake Featuring Yeat,51,2,15,2024-01-27
69,J Christ,Lil Nas X,NEW,69,1,2024-01-27
70,Dark Days,21 Savage & Mariah The Scientist,NEW,70,1,2024-01-27
71,500lbs,Lil Tecca,56,51,17,2024-01-27
72,Different 'Round Here,Riley Green Featuring Luke Combs,60,60,7,2024-01-27
73,One Of The Girls,"The Weeknd, Jennie & Lily-Rose Depp",61,61,4,2024-01-27
74,Man Made A Bar,Morgan Wallen Featuring Eric Church,62,15,17,2024-01-27
75,Soak City,310babii,66,66,5,2024-01-27
76,Act II: Date @ 8,4batz Featuring Drake,77,76,2,2024-01-27
77,I Can Feel It,Kane Brown,59,59,3,2024-01-27
78,Save Me The Trouble,Dan + Shay,45,38,12,2024-01-27
79,23,Chayce Beckham,64,64,3,2024-01-27
80,Mmhmm,BigXthaPlug,65,65,4,2024-01-27
81,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,67,67,5,2024-01-27
82,El Amor de Su Vida,Grupo Frontera & Grupo Firme,70,67,19,2024-01-27
83,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida,69,61,16,2024-01-27
84,Wondering Why,The Red Clay Strays,71,71,4,2024-01-27
85,Can't Catch Me Now,Olivia Rodrigo,63,56,11,2024-01-27
86,FE!N,Travis Scott Featuring Playboi Carti,74,5,12,2024-01-27
87,Standing Next To You,Jung Kook,76,5,11,2024-01-27
